 13, 10, 109
 18, 12, 102
 13, 12, 100
 15, 11, 101
 19, 13, 107
 16, 12, 101
 18, 10, 104
 12, 13, 109
 11, 14, 107
 19, 12, 100
 11, 10, 104
 10, 14, 104
 13, 10, 105
 13, 13, 102
 11, 14, 105
 19, 12, 106
 15, 10, 103
 18, 10, 105
 16, 12, 106
 18, 11, 103
 13, 10, 103
 18, 12, 108
 12, 10, 100
 10, 14, 105 
 10, 13, 106
 17, 13, 104
 10, 12, 108
 11, 10, 109
 18, 14, 103
 17, 10, 109
 16, 12, 107
 16, 10, 100
 19, 13, 104
 10, 13, 102
 11, 12, 102
 15, 11, 100
 18, 12, 108
 12, 11, 105
 19, 12, 100
 18, 12, 101
 19, 13, 105
 19, 13, 101
 11, 13, 108
 19, 12, 100
 17, 14, 103
 10, 11, 107
 10, 14, 104
 10, 13, 103
 14, 10, 102
 14, 13, 103
